,Station Names,YEAR,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production,Boro_Area,Boro_Production
103,Patuakhali,1981,32.675,21.89166667,180.9166667,76.83333333,2.3,4.091666667,5.734195402,685735.0,336925,179930,73860.0,,,14185.0,10460.0
104,Rajshahi,1981,34.45833333,20.08333333,186.75,76.25,1.375,3.075,7.633333332999999,1087435.0,515835,313970,113980.0,,,85165.0,96040.0
105,Rangamati,1981,32.33333333,21.75833333,174.91666669999995,78.58333333,1.483333333,4.05,6.455864198,60425.0,54790,73035,33470.0,,,19305.0,20260.0
106,Rangpur,1981,32.725,19.93333333,159.66666669999995,80.16666667,0.9,3.233333333,7.791666667,1395255.0,851910,819000,291190.0,,,71735.0,75435.0
107,Sandwip,1981,32.15,22.34166667,286.6666667,82.75,1.116666667,3.416666667,6.600617284,,,,,,,,
108,Satkhira,1981,34.00833333,21.25833333,172.75,73.41666667,1.883333333,3.7,6.538611111,,,,,,,,
109,Khagrachari,1981,32.3,20.95,163.75,75.91666667,1.1,3.35,5.6166666670000005,0.0,0,0,0.0,,,0.0,0.0
110,Maulavibazar,1981,31.55,19.33333333,180.3333333,81.41666667,0.525,3.25,6.355654762,,,,,,,,
111,Sylhet,1981,33.16666667,20.30833333,361.0833333,77.58333333,1.058333333,4.15,6.808333332999999,1142490.0,568470,422195,206060.0,,,655130.0,492330.0
112,Teknaf,1981,31.88333333,21.725,363.8333333,76.08333333,1.258333333,4.108333333,7.6,,,,,,,,
113,Barisal,1982,33.30833333,20.91666667,155.66666669999995,79.66666667,0.808333333,3.191666667,7.466666667,922570.0,405310,374880,146055.0,9130.0,16045,99075.0,96340.0
114,Bhola,1982,33.175,21.55833333,125.0833333,81.33333333,0.6416666670000001,3.0,5.9916666670000005,,,,,,,,
